Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
633,2017-08-01,TouchKin,Technology,Predictive Care Platform,Kae Capital,Private Equity,"13,00,000",1300000,Bengaluru
636,2017-08-02,Zepo,Consumer Internet,DIY Ecommerce platform,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,"5,00,000",500000,Mumbai
637,2017-08-02,Click2Clinic,Consumer Internet,healthcare service aggregator,"Narottam Thudi, Shireesh Palle",Seed Funding,"8,50,000",850000,Hyderabad
638,2017-08-03,SpeedBox,Logistics,On-Demand Logistics Service provider,Cismat Cargo Services Pvt. Ltd.,Seed Funding,"3,00,000",300000,Mumbai
646,2017-08-08,New Castle Technologies,Technology,Hospital Management Software,Undisclosed investors,Seed Funding,"2,43,000",243000,Chennai
647,2017-08-08,My Forex Eye,Consumer Internet,foreign exchange services,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,"2,20,000",220000,New Delhi
648,2017-08-09,TruxApp,Logistics,Mobile based Logistics Service,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,"31,00,000",3100000,New Delhi
649,2017-08-09,CroFarm,Technology,Agriculture Supply Chain solutions,Factor[e] Ventures,Seed Funding,"7,83,000",783000,Gurgaon
652,2017-08-11,Flipkart,eCommerce,Online Marketplace,Softbank,Private Equity,"2,50,00,00,000",2500000000,Bengaluru
654,2017-08-11,Ola Cabs,Consumer Internet,App based cab aggregation Service,Tekne Capital Management,Private Equity,"3,60,00,000",36000000,Gurgaon
656,2017-08-14,Digilend,Technology,Personal Loans & EMI solutions platform,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,"3,12,000",312000,Mumbai
657,2017-08-15,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,"3,85,000",385000,Bengaluru
659,2017-08-20,Rootefy,eCommerce,Building material online store,"Abhinav Gupta,",Seed Funding,"1,87,000",187000,New Delhi
660,2017-08-21,Uniphore,Technology,speech recognition startup,IDG Ventures,Private Equity,"68,00,000",6800000,Chennai
661,2017-08-21,Cerebroz,Consumer Internet,E-Tech platform,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,"7,34,000",734000,Vadodara
665,2017-08-23,Dhruva,Technology,Cloud data protection and management solutions,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,"8,00,00,000",80000000,Pune
666,2017-08-23,Bombay Shaving Company,eCommerce,Men Grooming product etailer,Fireside Ventures,Private Equity,"23,00,000",2300000,New Delhi
668,2017-08-23,Indiez,Technology,Software & Mobile app development platform,Haresh Chawla,Seed Funding,"5,00,000",500000,Bengaluru
669,2017-08-24,Ezetap,Technology,mPOS solutions provider,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,"1,60,00,000",16000000,Bengaluru
670,2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,"VAMM Ventures, Raksul, Dena",Seed Funding,"7,50,000",750000,Chennai
671,2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,"PBS Srinivas, Vinod Martin,",Seed Funding,"1,25,000",125000,Bengaluru
672,2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,"70,00,000",7000000,Pune
673,2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,"2,50,00,000",25000000,Bengaluru
674,2017-08-29,Doxper,Technology,Healthtech IoT platform,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,"7,50,000",750000,Mumbai
676,2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,"Ward Ferry Management and Karst Peak Capital,",Private Equity,"3,40,00,000",34000000,Bengaluru
677,2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,"3,00,00,000",30000000,Bengaluru
678,2017-07-01,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Reliance Corporate Advisory Services Ltd,Seed Funding,"10,00,000",1000000,Bengaluru
679,2017-07-03,Ecolibriumenergy,Technology,Energy management solutions provider,"Infuse Ventures, JLL",Private Equity,"26,00,000",2600000,Ahmedabad
680,2017-07-04,Droom,eCommerce,Online marketplace for automobiles,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"2,00,00,000",20000000,Gurgaon
681,2017-07-05,Jumbotail,eCommerce,online marketplace for food and grocery,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,"85,00,000",8500000,Bengaluru
682,2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"1,20,00,000",12000000,Noida
683,2017-07-05,Timesaverz,Consumer Internet,Hyperlocal home services provider,BCCL,Private Equity,"10,00,000",1000000,Mumbai
686,2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,"India Quotient, Shunwei Capital",Seed Funding,"10,00,000",1000000,Bengaluru
688,2017-07-10,Autorox.co,Technology,Workshop Management Software Platform,Mitsui & Co.,Private Equity,"30,00,000",3000000,Hyderabad
689,2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Dunamis Ventures Pte Ltd,Private Equity,"22,50,000",2250000,Pune
690,2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,"4,64,000",464000,Mumbai
692,2017-07-12,Innoviti,Technology,Digital payments solutions,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,"1,85,00,000",18500000,Bengaluru
696,2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,"5,40,000",540000,Bengaluru
697,2017-07-14,Chumbak,eCommerce,Designer consumer products Marketplace,Blacksoil Capital Pvt. Ltd,Private Equity,"17,00,000",1700000,Bengaluru
698,2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,"20,00,000",2000000,Bengaluru
699,2017-07-17,Vayana,Technology,Enterprise Banking Solutions,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,"40,00,000",4000000,Pune
704,2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,"ain Capital Ventures, Renaud Laplanche",Private Equity,"1,00,00,000",10000000,Bengaluru
706,2017-07-19,Playablo,Technology,Gamified Learning App,ABI-Showatech (India) Ltd,Seed Funding,"6,00,000",600000,Bengaluru
707,2017-07-20,Trupay,Technology,Online payments platform,"Kae Capital, M&S Partners,",Seed Funding,"7,00,000",700000,Gurgaon
708,2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,"2,00,000",200000,Gurgaon
712,2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,"Stellaris Venture Partners,",Private Equity,"12,00,000",1200000,Bengaluru
713,2017-07-25,Byju\\xe2\\x80\\x99s,Consumer Internet,Mobile Learning App,Tencent Holdings,Private Equity,"3,50,00,000",35000000,Bengaluru
715,2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,Goldman Sachs,Private Equity,"2,50,00,000",25000000,New Delhi
716,2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,"Indian Angel Network, Anand Mahindra",Seed Funding,"2,00,000",200000,Bengaluru
717,2017-07-27,1mg,eCommerce,Online Pharmacy,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,"1,50,00,000",15000000,Gurgaon
719,2017-07-28,BigStylist,Consumer Internet,Beauty Services Marketplace,Info Edge (India) Ltd,Private Equity,"12,50,000",1250000,Mumbai
722,2017-06-02,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",TVS Motor Company,Seed Funding,"2,34,000",234000,Bengaluru
723,2017-06-05,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Emerging India,Private Equity,"5,00,00,000",50000000,Mumbai
725,2017-06-06,Spinny,eCommerce,Online Used Car marketplace,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,"10,00,000",1000000,Gurgaon
728,2017-06-06,BHIVE Workspace,Consumer Internet,co-working spaces,Blume Ventures,Private Equity,"12,00,000",1200000,Bengaluru
729,2017-06-06,wayForward,Consumer Internet,Mobile app for Mental Health,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,"10,00,000",1000000,New Delhi
732,2017-06-07,ZipLoan,Consumer Internet,Online lending platform,WaterBridge Ventures,Seed Funding,"6,50,000",650000,New Delhi
733,2017-06-07,GrowFitter,Consumer Internet,health and fitness discovery platform,SQue Capital,Seed Funding,"6,00,000",600000,Mumbai
734,2017-06-08,Stratfit,Consumer Internet,Health coaching programs,Bodhtree Consulting Limited,Seed Funding,"2,32,000",232000,Hyderabad
735,2017-06-08,Multiplier Solutions,Technology,CRM Software for Healthcare space,Norwest Venture Partners,Private Equity,"15,00,000",1500000,Hyderabad
736,2017-06-08,ABI Health,Technology,Unified Digital Health Platform,Norwest Venture Partners,Private Equity,"15,00,000",1500000,Bengaluru
737,2017-06-08,Stockal,Consumer Internet,App-based Investment advisory Services,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,"3,50,000",350000,Bengaluru
738,2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,"3,00,000",300000,Mumbai
739,2017-06-09,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,"2,50,000",250000,Hyderabad
741,2017-06-12,LendingKart,Consumer Internet,Online Lending platform,Yes Bank,Debt Funding,"78,00,000",7800000,Ahmedabad
742,2017-06-12,Boxx.ai,Technology,Artificial Intelligence,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,"5,00,000",500000,Bengaluru
743,2017-06-12,PeeSafe.in,Healthcare,Hygiene care product manufacturer,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,"10,00,000",1000000,New Delhi
744,2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,"7,76,000",776000,Mumbai
745,2017-06-12,CoverFox,Consumer Internet,Online insurance brokerage platform,Transamerica,Private Equity,"1,50,00,000",15000000,Mumbai
747,2017-06-13,Goodera,Technology,CSR and sustainability management platform,"Nexus Venture Partners, Omidyar Network",Private Equity,"55,00,000",5500000,Bengaluru
749,2017-06-14,Ola,Consumer Internet,Cab Aggregation App,Tekne Capital Management LLC,Private Equity,"5,00,00,000",50000000,Bengaluru
751,2017-06-14,MrNeeds,Consumer Internet,Micro Food Delivery platform,undisclosed investors,Seed Funding,"5,00,000",500000,Noida
752,2017-06-15,MoneyTap,Consumer Internet,Money Lending platform,"Sequoia India, NEA, Prime Venture Partners",Private Equity,"1,23,00,000",12300000,Bengaluru
753,2017-06-16,Goodbox,eCommerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,"10,00,000",1000000,Bengaluru
754,2017-06-16,Fincash,Consumer Internet,Personal Finance platform,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,"1,00,000",100000,Mumbai
755,2017-06-16,PortDesk,Technology,Maritime Solutions,Alphard Maritime Group,Seed Funding,"20,00,000",2000000,Noida
759,2017-06-19,Unbxd,Technology,Cloud-based product discovery platform,Eight Roads Ventures,Private Equity,"1,25,00,000",12500000,Bengaluru
760,2017-06-19,DarwinBox,Technology,Enterprise human resources management platform,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,"40,00,000",4000000,Hyderabad
761,2017-06-20,ForeverShop,Consumer Internet,Mobile based ecommerce platform,91maker.com,Seed Funding,"3,00,000",300000,Bengaluru
762,2017-06-20,Insider.in,Consumer Internet,Events Ticketing platform,Paytm,Private Equity,"52,00,000",5200000,Mumbai
763,2017-06-21,Fynd,eCommerce,Fashion etailer,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,"24,00,000",2400000,Mumbai
764,2017-06-21,Grow Fit,Consumer Internet,Health-Tech platform,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,"45,00,000",4500000,Bengaluru
765,2017-06-21,Fabulyst,Technology,Artificial Intelligence based platform,iBhubs,Seed Funding,"2,15,000",215000,Hyderabad
766,2017-06-21,mSwipe,Technology,Point-of-Sale services,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,"3,10,00,000",31000000,Mumbai
768,2017-06-22,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,"General Catalyst, Founder Collective",Private Equity,"46,00,000",4600000,Bengaluru
769,2017-06-22,Kissht,Consumer Internet,Consumer Lending platform,"Endiya Partners, Ventureast",Private Equity,"20,00,000",2000000,Mumbai
770,2017-06-22,Explore Life traveling,Consumer Internet,Local homes booking platform,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,"5,00,000",500000,Bengaluru
771,2017-06-23,Loantap,Consumer Internet,Lending platform for salaried professionals,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,"40,00,000",4000000,Mumbai
772,2017-06-23,Voxweb,Consumer Internet,Mobile based social networking platform,Undisclosed investors,Seed Funding,"10,00,000",1000000,Mumbai
773,2017-06-26,HUG Innovations,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,"50,00,000",5000000,Hyderabad
774,2017-06-26,Flipkart,eCommerce,Online marketplace,Naspers,Private Equity,"7,10,00,000",71000000,Bengaluru
775,2017-06-26,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,"Seedfund, RB International",Private Equity,"40,00,000",4000000,Noida
776,2017-06-27,Stashfin,Consumer Internet,Personal Finance App,"Snow Leopard Ventures, Alto Partners",Private Equity,"50,00,000",5000000,New Delhi
778,2017-06-27,Spares Hub,eCommerce,Automobile parts marketplace,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,"3,11,000",311000,Pune
780,2017-06-28,Rubique,Consumer Internet,Online Marketplace for financial products,"Kalaari Capital, Udayan Goyal",Private Equity,"30,00,000",3000000,Mumbai
781,2017-06-28,Niki.ai,Consumer Internet,AI Based Personal Assistant,"SAP.iO, Unilazer Ventures",Private Equity,"20,00,000",2000000,Bengaluru
782,2017-06-29,Fitpass,Consumer Internet,Online Fitness Marketplace,"Abhinav Bindra, Gaurav Marya",Private Equity,"10,00,000",1000000,New Delhi
784,2017-06-30,Tagos Design,Technology,in-video discovery platform,Undisclosed Investors,Private Equity,"50,00,000",5000000,Bengaluru
785,2017-06-30,UrbanClap,Consumer Internet,Mobile Services Marketplace,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,"2,10,00,000",21000000,Gurgaon
786,2017-05-01,Ace2three,Consumer Internet,Online Rummy playing Website,Clairvest Group,Private Equity,"7,37,00,000",73700000,Hyderabad
787,2017-05-01,Power2SME,eCommerce,Buying portal for SMEs,International Finance Corporation,Private Equity,"1,00,00,000",10000000,Gurgaon
788,2017-05-02,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad Angels,Seed Funding,"15,00,000",1500000,Hyderabad
789,2017-05-02,4tigo,Logistics,Truck Network company,"Accel Partners, Nandan Nilekani,",Private Equity,"1,00,00,000",10000000,Bengaluru
791,2017-05-02,ZippServe,Consumer Internet,Real estate risk assessment platform,undisclosed investors,Seed Funding,"3,90,000",390000,Bengaluru
792,2017-05-03,Ola,Consumer Internet,Cab Aggregation App,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,"10,45,00,000",104500000,Bengaluru
793,2017-05-03,Sumeru,Technology,Software & Mobile development services,undisclosed investors,Seed Funding,"10,00,000",1000000,Bengaluru
799,2017-05-05,Balance App,Consumer Internet,Money Savings & Management App,Rainmatter,Seed Funding,"2,33,000",233000,Bengaluru
800,2017-05-08,YepMe,eCommerce,Private Label Fashion etailer,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"7,00,000",700000,Gurgaon
803,2017-05-08,MyGreens,Food & Beverage,Cold-press Juices manufacturer,"Ajay Relan, LetsVenture",Seed Funding,"10,00,000",1000000,New Delhi
804,2017-05-08,Ace Turtle,Technology,Omni-Channel Platform,"Vertex Ventures, C31 Ventures",Private Equity,"50,00,000",5000000,Bengaluru
805,2017-05-08,CureFit,Technology,Health-Tech Platform,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,"32,00,000",3200000,Bengaluru
806,2017-05-09,Curie Labs,Technology,Energy Analytics startup,Satoshi Studios,Seed Funding,"50,000",50000,New Delhi
811,2017-05-10,Vidooly,Consumer Internet,Video Intelligence platform,"Times Internet, GVFL",Private Equity,"14,00,000",1400000,Noida
812,2017-05-10,Shopclues,eCommerce,Online marketplace,InnoVen Capital,Private Equity,"77,00,000",7700000,Gurgaon
813,2017-05-10,Fourth Ambit,Consumer Internet,Community Building platform,1Crowd,Seed Funding,"6,00,000",600000,Bengaluru
815,2017-05-11,Early Salary,Consumer Internet,Online lending platform,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,"40,00,000",4000000,Pune
